country,continent,h20_variable,year,h20_unit,h20_powercode_code,h20_powercode,h20_value,h20_flags
Belgium,Europe,Abstractions for services - non-freshwater,2003,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2004,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2005,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2006,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2007,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2008,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2009,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2010,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2011,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2012,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2013,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2014,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2015,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2016,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2017,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2018,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2019,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for services - non-freshwater,2020,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",1992,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",1993,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",1994,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",1995,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",1996,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",1997,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",1998,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",1999,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2000,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2001,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2002,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2003,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2004,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2005,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2006,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2007,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2008,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2009,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2010,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2011,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2012,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2013,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2014,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2015,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2016,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2017,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2018,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2019,Cubic metres,6,Millions,0.0,
Belgium,Europe,"Abstractions for agriculture, forestry, fishing. Non-freshwater",2020,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for irrigation. Non-freshwater,1992,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for irrigation. Non-freshwater,1993,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for irrigation. Non-freshwater,1994,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for irrigation. Non-freshwater,1995,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for irrigation. Non-freshwater,1996,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for irrigation. Non-freshwater,1997,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for irrigation. Non-freshwater,1998,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for irrigation. Non-freshwater,1999,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for irrigation. Non-freshwater,2000,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for irrigation. Non-freshwater,2001,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for irrigation. Non-freshwater,2002,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for irrigation. Non-freshwater,2003,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for irrigation. Non-freshwater,2004,Cubic metres,6,Millions,0.0,
Belgium,Europe,Abstractions for irrigation. Non-freshwater,2005,Cubic metres,6,Millions,0.0,
